ordinal,item,itemLabel,inception,inceptionPrecision,startTime,startTimePrecision,abolished,abolishedPrecision,endTime,endTimePrecision,replaces,replacesLabel,replacedBy,replacedByLabel,follows,followsLabel,followedBy,followedByLabel
1,Q3112591,Fontaine Ministry,1848-08-01,11,,,1848-12-02,11,,,,,Q2430138,Willmar Ministry,,,,
2,Q2430138,Willmar Ministry,1848-12-02,11,,,1853-09-22,11,,,Q3112591,Fontaine Ministry,Q2020101,Simons Ministry,,,,
3,Q2020101,Simons Ministry,1853-09-22,11,,,1860-09-26,11,,,Q2430138,Willmar Ministry,Q3112573,Tornaco Ministry,,,,
4,Q3112573,Tornaco Ministry,1860-09-26,11,,,1867-12-03,11,,,Q2020101,Simons Ministry,Q3112460,Servais Ministry,,,,
5,Q3112460,Servais Ministry,1867-12-03,11,,,1874-12-26,11,,,Q3112573,Tornaco Ministry,Q2312172,Blochausen Ministry,,,,
6,Q2312172,Blochausen Ministry,1874-12-26,11,,,1885-02-20,11,,,Q3112460,Servais Ministry,Q2196211,Thilges Ministry,,,,
7,Q2196211,Thilges Ministry,1885-02-20,11,,,1888-09-22,11,,,Q2312172,Blochausen Ministry,Q2290147,Eyschen Ministry,,,,
8,Q2290147,Eyschen Ministry,1888-09-22,11,,,1915-10-12,11,,,Q2196211,Thilges Ministry,Q2188741,Mongenast Ministry,,,,
9,Q2188741,Mongenast Ministry,1915-10-12,11,,,1915-11-06,11,,,Q2290147,Eyschen Ministry,Q2103756,Loutsch Ministry,,,,
10,Q2103756,Loutsch Ministry,1915-11-06,11,,,1916-02-24,11,,,Q2188741,Mongenast Ministry,Q2539950,National Union Government,,,,
11,Q2539950,National Union Government,1916-02-24,11,,,1917-06-18,11,,,Q2103756,Loutsch Ministry,Q2366809,Kauffman Ministry,,,,
12,Q2366809,Kauffman Ministry,1917-06-18,11,,,1918-09-28,11,,,Q2539950,National Union Government,Q2849444,Reuter Ministry,,,,
13,Q2849444,Reuter Ministry,1918-09-28,11,,,1925-03-19,11,,,Q2366809,Kauffman Ministry,Q2329965,Prüm Ministry,,,,
14,Q2329965,Prüm Ministry,1925-03-19,11,,,1926-07-15,11,,,Q2849444,Reuter Ministry,Q2408286,Bech Ministry,,,,
15,Q2408286,Bech Ministry,1926-07-15,11,,,1937-11-05,11,,,Q2329965,Prüm Ministry,Q2202253,Dupong-Krier Ministry,,,,
16,Q2202253,Dupong-Krier Ministry,1937-11-05,11,,,1940-05-10,11,,,Q2408286,Bech Ministry,Q13645385,Luxembourg government in exile,,,,
17,Q13645385,Luxembourg government in exile,1940-05-10,11,,,1944-09-23,11,,,Q2202253,Dupong-Krier Ministry,Q15055266,Liberation Government (Luxembourg),,,,
18,Q15055266,Liberation Government (Luxembourg),1944-09-23,11,,,1945-11-14,11,,,Q13645385,Luxembourg government in exile,Q6979086,National Union Government,,,,
