position,title
Q3276071,Grand Duke
Q1344632,Prime Minister
Q29217646,Deputy Prime Minister
Q107969985,Minister for Administrative Reform
Q95146928,Minister of Agriculture
Q59862439,"Minister of Agriculture, Viticulture and Rural Development"
Q59875525,Minister for the Civil Service
Q41015553,Minister for Communications and Media
Q59877755,Minister for Consumer Protection
Q59863254,Minister for Culture
Q30101499,Minister of Defence
Q59860556,Minister for Development Cooperation and Humanitarian Affairs
Q107969984,Minister for Digitalisation
Q30101464,Minister of the Economy
Q30107391,"Minister for Education, Children and Youth"
Q64022940,Minister for Energy and Spatial Planning
Q59871024,"Minister for the Environment, Climate and Sustainable Development"
Q59870198,Minister of Equality between Women and Men
Q40880757,Minister for Family Affairs and Integration
Q59874788,Minister for Finance
Q28527071,Minister of Foreign and European Affairs
Q59874512,Minister for the Greater Region
Q59878021,Minister of Health
Q30139151,Minister for Higher Education and Research
Q59875958,Minister for Home Affairs
Q59877259,Minister for Housing
Q107970083,Minister of Immigration and Asylum
Q30101490,Minister of Internal Security
Q30242784,Minister for Justice
Q59878458,"Minister of Labour, Employment and the Social and Solidarity Economy"
Q59877543,Minister for Mobility and Public Works
Q43373411,"Minister of National Education, Vocational Training and Sports"
Q59861810,Minister for Relations with Parliament
Q41014245,Minister for Religious Affairs
Q59864917,Minister for Small and Medium-Sized Enterprises
Q59878204,Minister of Social Security
Q59878313,Minister of Sport
Q59861786,Minister of State
Q30250859,Minister for Sustainability and Infrastructure
Q59864950,Minister for Tourism
Q107970077,Minister Delegate for Administrative Reform
Q107970074,Minister Delegate for Digitalisation
Q107970070,Minister Delegate of Social Security
Q64018905,President of the Council of State
Q51625452,President of the Chamber of Deputies
Q5097015,Chief of Defence
Q109518883,Chairman of the Central Bank
Q85422522,Mayor of Luxembourg
